titulo,resumo,data_publicacao,url,pagina,coletado_em
Cadastro de agressores e campanha contra abuso infantil: conheça novas leis sancionadas em Cuiabá,,2026-08-26T16:40:16.890Z,https://g1.globo.com/mt/mato-grosso/noticia/2026/08/26/cadastro-de-agressores-e-campanha-contra-abuso-infantil-conheca-novas-leis-de-cuiaba.ghtml,2,2026-09-16T21:57:41.300442-03:00
Câmera escondida no banheiro do trabalho: o que diz a lei e como denunciar,,2026-09-06T10:09:21.522Z,https://g1.globo.com/trabalho-e-carreira/noticia/2026/09/05/camera-escondida-no-banheiro-do-trabalho-o-que-diz-a-lei-e-como-denunciar.ghtml,2,2026-09-16T21:57:41.300442-03:00
Homem é preso suspeito de agredir a irmã em Itatiba,,2026-08-20T23:17:40.066Z,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/08/20/homem-e-preso-suspeito-de-agredir-a-irma-em-itatiba.ghtml,3,2026-09-16T21:57:43.083514-03:00
"Delegada Vilma Alves segue internada após sofrer infarto em Teresina: 'lutando pela vida', diz filha",,2026-08-23T12:09:55.559Z,https://g1.globo.com/pi/piaui/noticia/2026/08/21/delegada-teresina-filha.ghtml,3,2026-09-16T21:57:43.083514-03:00
"Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição, LGPD e outras normas",,2025-09-23T13:15:17.806Z,https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2025/09/23/vazamento-de-dados-de-pessoas-com-hiv-na-ba-viola-leis-e-normas.ghtml,3,2026-09-16T21:57:43.083514-03:00
Entidades acionam MPF contra óculos inteligentes da Meta por riscos à privacidade e aos consumidores,,2026-08-21T13:50:19.593Z,https://g1.globo.com/tecnologia/noticia/2026/08/21/entidades-acionam-mpf-contra-oculos-inteligentes-da-meta-por-riscos-a-privacidade-e-aos-consumidores.ghtml,3,2026-09-16T21:57:43.083514-03:00
Pastor-belga que atacou veterinária no Senado é retirado das atividades e passará por exames,,2026-08-19T03:00:42.953Z,https://g1.globo.com/df/distrito-federal/noticia/2026/08/19/pastor-belga-que-atacou-veterinaria-no-senado-e-retirado-das-atividades-e-passara-por-exames.ghtml,3,2026-09-16T21:57:43.083514-03:00
"Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda, em cinco pontos, a nova regra da Anac",,2026-08-20T10:38:32.283Z,https://g1.globo.com/turismo-e-viagem/noticia/2026/08/20/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-em-cinco-pontos-a-nova-regra-da-anac.ghtml,3,2026-09-16T21:57:43.083514-03:00
Motorista de caminhonete persegue e esfaqueia motoboy em pizzaria no PR após briga de trânsito e é encontrado com ajuda de IA,,2026-08-21T14:51:44.315Z,https://g1.globo.com/pr/campos-gerais-sul/noticia/2026/08/21/motorista-de-caminhonete-persegue-e-esfaqueia-motoboy-em-pizzaria-no-pr-apos-briga-de-transito-e-e-encontrado-com-ajuda-de-ia.ghtml,3,2026-09-16T21:57:43.083514-03:00
"Latam diz que falha de segurança expôs nome, endereço e parte do cartão de crédito de clientes",,2026-08-20T13:25:38.510Z,https://g1.globo.com/tecnologia/noticia/2026/08/19/latam-incidente-seguranca-dados.ghtml,3,2026-09-16T21:57:43.083514-03:00
"Plano de governo: Du Pereira promete painel público, escritório estadual de projetos e diagnóstico das rodovias",,2026-09-03T09:01:20.134Z,https://g1.globo.com/to/tocantins/eleicoes/2026/noticia/2026/09/03/plano-de-governo-du-pereira-promete-painel-publico-escritorio-estadual-de-projetos-e-diagnostico-das-rodovias.ghtml,3,2026-09-16T21:57:43.083514-03:00
LGPD em TI: Como empresas podem garantir conformidade com suas operações,,2025-05-21T20:56:11.645Z,https://g1.globo.com/pb/paraiba/especial-publicitario/hostdime/noticia/2025/05/21/lgpd-em-ti-como-empresas-podem-garantir-conformidade-com-suas-operacoes.ghtml,3,2026-09-16T21:57:43.083514-03:00
